Trace,Scenario,TraceNumber,Median,Max,Min,SD,IQR,MaxDroughtLength,Driest10yr,Wettest10yr,demand,mead,powell,InitCombinedStorage,Neuron,Cluster
16,stress_test,16,13.218038,21.656095,7.894915,3.689597144,5.60194725,6,11.8548164,15.0472614,4.705929853,1029.517618,3579.380193,15.51855529,47,3
36,cmip5,3,11.6731912,20.18731871,5.657435891,3.757783016,5.405299011,10,8.937738091,13.39497797,4.360599879,1083.469402,3631.298234,24.41960048,6,4
39,cmip5,6,12.1219642,30.32725241,6.638322886,5.111266371,6.57627951,8,11.44674217,14.26815973,5.220465248,1054.907174,3607.276129,19.70220754,6,4
42,cmip5,9,13.40637149,28.02431409,8.330454779,4.454779418,5.809364062,7,12.75833294,16.85376793,5.496851867,1084.031437,3621.096567,23.37194895,2,2
48,cmip5,15,12.54841251,23.58499825,6.525148212,4.004022218,4.893975756,10,11.2324583,15.3885617,5.54548305,953.3947077,3481.985786,5.538430334,52,7
49,cmip5,16,11.09257872,28.13420301,8.384137503,4.846874299,6.222263055,7,12.83699699,16.07535074,5.444912987,1050.459709,3566.156105,15.94782946,48,5
54,cmip5,21,15.5139507,24.1950526,9.001095395,3.502283998,4.181829793,5,13.55583723,19.00997211,5.882485364,1054.634772,3567.446357,16.34855293,29,2
55,cmip5,22,16.4703194,34.11611263,9.407718436,5.636665517,6.263271497,3,14.51205369,18.26915415,5.340588415,1100.91328,3652.700457,28.46107718,14,1
60,cmip5,27,13.97070023,31.57075112,6.009171719,5.483376525,6.097165893,4,14.09795266,16.96544434,5.485317497,1036.637207,3567.26202,15.06144345,31,3
64,cmip5,31,10.66424709,30.09160262,7.116876768,4.981367135,5.156827274,14,9.514707598,14.379155,4.286773237,1075.82792,3611.651987,21.74593576,5,4
66,cmip5,33,13.34245643,27.25946459,6.823834445,4.811795795,3.682493848,5,13.72202892,15.6734111,4.464895676,1086.422629,3620.829952,23.54677143,30,2
67,cmip5,34,13.89466463,26.00319642,6.613084582,4.519601537,6.402228353,4,11.75544605,18.31070493,5.521497191,1064.518617,3587.119923,18.64411598,20,3
